grid_id,cluster,lat,lon,neighborhood,total_311_requests,num_unique_services,avg_resolution_days,median_resolution_days,S1,S2,S3,S4_pos,S4_neg,N1,N2,N3,N4,N5,performance_score,need_score,raw_equity,equity_score,top3_features,lisa_I,lisa_z,lisa_p,lisa_quadrant
100_59,0,37.795166947,-122.44686809,Presidio,48.0,17.0,15.177188977541372,1.9636574074074071,3.8918202981106265,-8.57042319247439,17.0,0.41666666666666663,0.2499999999999999,0.001776988005330964,1.0017769880053309,103.0,0.00014544396771143918,0.17796196977084347,13.368351022701127,55.108089270667215,0.24258418241389862,99.26777430879228,"N3, S2, S4_neg",2.5596301666730756e-06,-0.0043931932551516195,0.14,NS
100_60,1,37.795623946111114,-122.44619652388889,Marina,243.0,11.0,14.717187499999998,0.057667824074074,5.497168225293202,-7.387427662037036,11.0,0.2222222222222222,0.148148148148148,0.03875730544447862,1.0015987210231814,112.0,0.00030764497769573913,0.1582484283546499,10.465742847046455,59.85432458003363,0.17485357567102297,99.25171455631141,"S4_pos, S3, S1",-2.4523445945473415e-05,-0.007798197446362981,0.153,NS
100_61,1,37.795353601,-122.445385356,Marina,784.0,25.0,11.945881895453654,0.0615625,6.665683717782408,-6.003722197726828,25.0,0.1887755102040815,0.0510204081632651,0.006855184233076264,2.4017137960582695,112.25,0.00017776197671318106,5.0694444444444455,20.05325606155084,60.29569390520531,0.33258188819413786,99.28911386188626,"S4_pos, S3, S1",-4.447737192277325e-06,-0.000131240935232079,0.127,NS
100_62,1,37.7949679204375,-122.44436715784376,Pacific Heights,1856.0,17.0,27.67894513482781,1.2201388888888889,7.526717561352706,-14.44954201185835,17.0,0.293103448275862,0.17241379310344812,1.0567545963229417,1.0015987210231814,113.0,0.0002962524070508073,0.4517326732673268,15.594220057637864,59.7967127937172,0.2607872417777637,99.272090476059,"S4_pos, S3, S1",9.428087256359551e-05,0.02238505668997705,0.071,NS
100_64,1,37.794861816,-122.441739167,Pacific Heights,885.0,20.0,13.319881102693603,0.6220833333333333,6.786716950605081,-6.970982218013468,20.0,0.1864406779661016,0.1525423728813556,0.23980815347721823,2.0026654820079965,120.0,0.0004209640075773521,0.2757839063090291,16.943560025345484,64.57076979248075,0.262402938936553,99.27247357755036,"S4_pos, S3, S1",7.484278813207993e-05,0.017377100967540582,0.075,NS
100_67,1,37.795282797,-122.43842862199999,Pacific Heights,4920.0,19.0,11.26599762633396,0.0812268518518518,8.501267040865978,-5.673612239092906,19.0,0.1626016260162601,0.1707317073170731,0.7818747223456242,1.0017769880053309,118.0,0.00021619284401686305,0.5097765363128491,17.33253314588688,62.58668494281816,0.27693642641060456,99.27591964459069,"S4_pos, S3, S1",-1.7541904050489716e-05,-0.012047448391048066,0.18,NS
100_68,1,37.79519449746296,-122.43722446822221,Pacific Heights,9342.0,23.0,18.08348548841239,0.8893865740740741,9.142382678792956,-9.486436031243231,23.0,0.2774566473988437,0.2138728323699419,0.7881694644284573,1.0015987210231814,122.0,0.00031994880819068947,0.6073211314475874,20.334546072095097,64.68959539567372,0.31434028352440024,99.28478855505767,"S4_pos, S3, S1",-9.391969276792743e-07,-0.009149297996023415,0.16,NS
100_69,3,37.795175163,-122.43594809999999,Marina,1420.0,12.0,17.392339808105206,0.9340277777777778,7.259116128097101,-9.163183792941492,12.0,0.704225352112676,0.028169014084506998,0.14103962195565248,1.001314708299096,119.5,0.00027582402427251415,0.2996715927750411,12.423283741561066,63.752802739656055,0.19486646881121295,99.25645985722798,"S4_pos, S3, S1",-0.00022490774527776468,-0.035296087382695095,0.386,NS
100_70,3,37.795683358,-122.435275855,Marina,2176.0,23.0,8.565801958983778,0.8590277777777777,7.685703061234547,-4.712414868380778,23.0,0.46875,0.0859375,0.14228617106314947,1.0015987210231814,125.0,0.0004209640075773521,0.4071388733965421,19.51405588884382,66.65165832370423,0.29277674534809034,99.27967557730098,"S4_pos, S3, S1",-1.575096021139943e-05,-0.015312220546074331,0.201,NS
100_71,3,37.795054727025644,-122.43355604256412,Pacific Heights,2808.0,13.0,10.006407798643714,0.5449189814814814,7.940583827104244,-5.275663390062598,13.0,0.4999999999999999,0.06944444444444431,0.46842525979216626,1.0022844089091947,117.0,0.0005331911490269261,0.36536536536536535,13.346478121621443,62.24438361959609,0.21442059718620204,99.26109637942649,"S4_pos, S3, S1",-0.00044458609200333384,-0.07622837543418787,0.319,NS
